Date,Price,Open,High,Low,Vol.,Change %
"Mar 31, 2021",85.15,86.5,88.1,85.15,564.30K,-1.10%
"Mar 30, 2021",86.1,85.15,86.75,84.6,141.40K,1.29%
"Mar 29, 2021",85,80,86,79,371.22K,3.85%
"Mar 26, 2021",81.85,84,84.6,80.7,462.55K,-2.09%
"Mar 25, 2021",83.6,85.2,87.3,82.1,389.78K,-3.13%
"Mar 23, 2021",86.3,88,88.95,86.3,368.87K,-2.92%
"Mar 22, 2021",88.9,87,89,86.7,389.38K,0.85%
"Mar 19, 2021",88.15,87,88.85,86.05,355.16K,0.17%
"Mar 18, 2021",88,88.45,88.95,86.5,494.07K,-0.56%
"Mar 17, 2021",88.5,87,88.6,86,308.27K,0.91%
"Mar 16, 2021",87.7,87.05,89.45,86.8,560.40K,-0.57%
"Mar 15, 2021",88.2,86.8,89,86.7,623.81K,1.85%
"Mar 12, 2021",86.6,82,87.25,82,596.87K,3.10%
"Mar 11, 2021",84,82.5,84.3,82.5,391.04K,1.82%
"Mar 10, 2021",82.5,82,82.9,80.8,684.70K,0.61%
"Mar 09, 2021",82,80.5,82.5,80.2,419.69K,1.61%
"Mar 08, 2021",80.7,82,83,80.2,374.94K,-2.18%
"Mar 05, 2021",82.5,81.8,82.8,77,383.65K,0.61%
"Mar 04, 2021",82,78,83.9,78,627.01K,3.54%
"Mar 03, 2021",79.2,79.5,81,77.5,518.73K,-0.38%
"Mar 02, 2021",79.5,80,82.7,78.65,448.27K,-0.63%
"Mar 01, 2021",80,78,80.9,78,346.72K,2.83%
"Feb 26, 2021",77.8,78.3,82.45,77.7,304.86K,-1.52%
"Feb 25, 2021",79,82.1,84,73.9,419.18K,-3.66%
"Feb 24, 2021",82,81,83.45,81,353.11K,0.74%
"Feb 23, 2021",81.4,84.5,84.5,78.7,193.85K,-1.33%
"Feb 22, 2021",82.5,85,85,81.7,504.38K,-3.51%
"Feb 19, 2021",85.5,86,86.8,84,638.73K,0.12%
"Feb 18, 2021",85.4,89,90,83.9,368.91K,-3.39%
"Feb 17, 2021",88.4,86,88.45,85.6,982.48K,3.76%
"Feb 12, 2021",85.2,82.1,85.25,82.1,456.75K,2.28%
"Feb 11, 2021",83.3,84.3,85.5,82.6,158.50K,-1.30%
"Feb 10, 2021",84.4,86,86,83.2,397.81K,-1.29%
"Feb 09, 2021",85.5,84.5,85.9,83.7,509.07K,0.59%
"Feb 08, 2021",85,84.4,85.2,83.5,259.94K,0.59%
"Feb 05, 2021",84.5,83,85.05,83,320.83K,1.02%
"Feb 04, 2021",83.65,79,83.75,78.4,220.12K,4.56%
"Feb 03, 2021",80,80,82.65,79,621.56K,-0.74%
"Feb 02, 2021",80.6,81.25,83.8,80.5,1.11M,-0.49%
"Feb 01, 2021",81,78.5,81.7,77.25,334.31K,2.53%
"Jan 29, 2021",79,83,83.5,77.5,141.12K,-4.82%
"Jan 28, 2021",83,81.9,83,79.45,376.95K,2.98%
"Jan 27, 2021",80.6,80.1,82.2,77.8,631.75K,0.50%
"Jan 26, 2021",80.2,76,80.25,76,665.23K,6.93%
"Jan 25, 2021",75,75.7,77.5,73.8,498.45K,0.27%
"Jan 22, 2021",74.8,76,76.5,73.8,504.59K,-1.97%
"Jan 21, 2021",76.3,78.1,80.1,75.5,651.66K,-5.22%
"Jan 20, 2021",80.5,78.7,80.5,77.25,392.64K,2.16%
"Jan 19, 2021",78.8,76.1,79,76.1,569.39K,1.68%
"Jan 18, 2021",77.5,76.1,77.5,75.1,172.50K,-0.77%
"Jan 15, 2021",78.1,77.1,78.1,75.4,353.31K,1.43%
"Jan 14, 2021",77,78,78.5,75.8,741.08K,-0.65%
"Jan 13, 2021",77.5,76.05,78,75.5,253.17K,1.97%
"Jan 12, 2021",76,74.55,78,73.2,436.60K,0.66%
"Jan 11, 2021",75.5,76.7,77.2,73.8,251.45K,-4.43%
"Jan 08, 2021",79,79.45,79.9,76.3,836.37K,-1.19%
"Jan 07, 2021",79.95,76.6,80.4,76.6,414.26K,2.50%
"Jan 06, 2021",78,77.6,78.9,77,175.53K,-0.38%
"Jan 05, 2021",78.3,76.65,78.9,76.2,500.06K,2.09%
"Jan 04, 2021",76.7,76.9,78.1,76,463.28K,-0.26%
"Dec 30, 2020",76.9,76.6,78.9,75.9,838.05K,0.39%
"Dec 29, 2020",76.6,74.5,78.25,73.6,499.57K,3.51%
"Dec 28, 2020",74,77,77.3,74,855.03K,-4.27%
"Dec 23, 2020",77.3,76.5,78,75.05,930.05K,3.00%
"Dec 22, 2020",75.05,78.5,79.45,75,855.75K,-2.53%
"Dec 21, 2020",77,80.85,80.85,76,648.03K,-6.10%
"Dec 18, 2020",82,83,84,80.3,1.05M,-1.62%
"Dec 17, 2020",83.35,80.5,83.75,80,2.43M,2.90%
"Dec 16, 2020",81,80,82,78.1,1.83M,1.25%
"Dec 15, 2020",80,80.5,82,79,2.10M,-1.11%
"Dec 14, 2020",80.9,80.05,81.95,80,451.69K,1.76%
"Dec 11, 2020",79.5,81,82.1,79.5,278.68K,-1.85%
