Date,Price,Open,High,Low,Vol.,Change %
"Mar 31, 2021",10.2,10.35,10.4,10.12,7.77M,-1.54%
"Mar 30, 2021",10.36,10.41,10.62,10.3,9.93M,-1.05%
"Mar 29, 2021",10.47,9.85,10.5,9.81,22.04M,6.51%
"Mar 26, 2021",9.83,9.8,9.94,9.7,5.11M,0.31%
"Mar 25, 2021",9.8,10.01,10.01,9.66,8.88M,-1.51%
"Mar 24, 2021",9.95,10.02,10.18,9.93,7.28M,-0.40%
"Mar 23, 2021",9.99,10.04,10.27,9.95,8.55M,-1.38%
"Mar 22, 2021",10.13,9.8,10.18,9.77,12.70M,3.26%
"Mar 19, 2021",9.81,9.65,9.89,9.6,6.16M,2.08%
"Mar 18, 2021",9.61,9.71,9.76,9.56,6.98M,-2.04%
"Mar 17, 2021",9.81,9.59,9.84,9.51,7.72M,2.62%
"Mar 16, 2021",9.56,9.61,9.7,9.46,7.05M,0.42%
"Mar 15, 2021",9.52,9.67,9.69,9.51,8.38M,-1.24%
"Mar 12, 2021",9.64,9.68,9.76,9.56,7.49M,-1.03%
"Mar 11, 2021",9.74,9.87,9.91,9.64,11.77M,-1.02%
"Mar 10, 2021",9.84,10.25,10.3,9.63,16.70M,-3.53%
"Mar 09, 2021",10.2,9.76,10.25,9.7,17.84M,6.14%
"Mar 08, 2021",9.61,9.65,10.04,9.56,11.74M,-1.94%
"Mar 05, 2021",9.8,9.86,10.04,9.8,7.61M,-1.11%
"Mar 04, 2021",9.91,9.62,10.09,9.61,12.96M,3.12%
"Mar 03, 2021",9.61,9.58,9.84,9.31,11.47M,0.00%
"Mar 02, 2021",9.61,9.54,9.75,9.45,9.84M,-0.41%
"Mar 01, 2021",9.65,9.92,9.94,9.51,13.15M,-0.52%
"Feb 26, 2021",9.7,9.75,10.08,9.66,24.78M,3.30%
"Feb 25, 2021",9.39,9.8,9.95,9.35,8.03M,-3.99%
"Feb 24, 2021",9.78,9.38,9.83,9.28,8.48M,4.38%
"Feb 23, 2021",9.37,9.16,9.45,9.01,12.25M,3.42%
"Feb 22, 2021",9.06,9.23,9.33,9.05,9.95M,-3.72%
"Feb 19, 2021",9.41,9.61,9.7,9.32,7.54M,-2.28%
"Feb 18, 2021",9.63,10.07,10.07,9.61,9.25M,-4.37%
"Feb 17, 2021",10.07,9.65,10.12,9.56,14.53M,5.11%
"Feb 12, 2021",9.58,9.52,9.66,9.37,8.31M,0.74%
"Feb 11, 2021",9.51,9.36,9.53,9.34,5.16M,2.26%
"Feb 10, 2021",9.3,9.54,9.56,9.27,4.62M,-2.41%
"Feb 09, 2021",9.53,9.39,9.58,9.38,5.93M,1.17%
"Feb 08, 2021",9.42,9.37,9.49,9.31,8.46M,0.75%
"Feb 05, 2021",9.35,9.4,9.46,9.3,8.75M,-0.21%
"Feb 04, 2021",9.37,9.5,9.57,9.31,7.95M,-1.37%
"Feb 03, 2021",9.5,9.36,9.57,9.32,9.70M,2.04%
"Feb 02, 2021",9.31,9.34,9.62,9.22,9.34M,0.54%
"Feb 01, 2021",9.26,9.42,9.47,9.15,7.15M,-0.22%
"Jan 29, 2021",9.28,9.44,9.69,9.28,8.77M,-2.32%
"Jan 28, 2021",9.5,9.23,9.55,9.16,7.24M,2.81%
"Jan 27, 2021",9.24,9.07,9.38,8.99,7.61M,1.99%
"Jan 26, 2021",9.06,9.2,9.28,9.02,7.02M,-1.31%
"Jan 22, 2021",9.18,9.25,9.32,9.15,6.45M,-1.71%
"Jan 21, 2021",9.34,9.5,9.61,9.31,6.82M,-1.68%
"Jan 20, 2021",9.5,9.64,9.72,9.42,6.23M,-0.84%
"Jan 19, 2021",9.58,9.84,9.88,9.57,6.05M,-1.94%
"Jan 18, 2021",9.77,9.77,9.93,9.75,5.82M,0.51%
"Jan 15, 2021",9.72,9.8,9.82,9.69,6.36M,-1.02%
"Jan 14, 2021",9.82,9.86,9.96,9.73,7.00M,0.20%
"Jan 13, 2021",9.8,10.05,10.06,9.68,11.38M,-1.90%
"Jan 12, 2021",9.99,9.68,10.03,9.62,14.24M,3.95%
"Jan 11, 2021",9.61,9.7,9.8,9.6,10.90M,-1.23%
"Jan 08, 2021",9.73,9.67,9.85,9.66,7.46M,0.83%
"Jan 07, 2021",9.65,9.75,9.81,9.62,7.77M,-0.41%
"Jan 06, 2021",9.69,9.85,9.86,9.69,8.36M,-1.52%
"Jan 05, 2021",9.84,10.07,10.1,9.77,13.66M,-1.99%
"Jan 04, 2021",10.04,10.23,10.32,10.03,6.12M,-1.38%
"Dec 30, 2020",10.18,10.42,10.47,10.15,8.04M,-1.74%
"Dec 29, 2020",10.36,10.35,10.53,10.29,7.63M,0.68%
"Dec 28, 2020",10.29,10.41,10.42,10.21,7.55M,-0.77%
"Dec 23, 2020",10.37,10.7,10.79,10.34,11.36M,-2.54%
"Dec 22, 2020",10.64,10.32,10.78,10.3,20.40M,4.11%
"Dec 21, 2020",10.22,10.15,10.5,10.03,9.94M,-1.45%
"Dec 18, 2020",10.37,10.16,10.57,10.14,12.33M,2.07%
"Dec 17, 2020",10.16,10.35,10.38,10.11,7.84M,-1.26%
"Dec 16, 2020",10.29,9.9,10.33,9.89,17.00M,4.26%
"Dec 15, 2020",9.87,9.93,10.07,9.83,7.77M,-0.10%
"Dec 14, 2020",9.88,9.97,9.99,9.81,4.62M,-0.70%
"Dec 11, 2020",9.95,9.78,9.96,9.73,6.34M,1.02%
"Dec 10, 2020",9.85,9.96,9.97,9.72,5.47M,-0.71%
"Dec 09, 2020",9.92,10.17,10.2,9.91,6.01M,-1.78%
"Dec 08, 2020",10.1,10,10.34,9.92,8.94M,0.90%
"Dec 07, 2020",10.01,9.85,10.15,9.81,8.53M,1.83%
"Dec 04, 2020",9.83,9.85,9.99,9.78,5.96M,0.20%
"Dec 03, 2020",9.81,9.76,9.89,9.56,11.34M,0.82%
"Dec 02, 2020",9.73,9.9,9.94,9.71,9.81M,-1.02%
"Dec 01, 2020",9.83,10.16,10.33,9.82,16.20M,-1.99%
"Nov 30, 2020",10.03,10.16,10.22,10.01,8.04M,-0.99%
"Nov 27, 2020",10.13,10.17,10.28,10.12,5.76M,-0.10%
"Nov 26, 2020",10.14,10.19,10.29,10.07,5.66M,-0.49%
"Nov 25, 2020",10.19,10.25,10.35,10.13,7.02M,-0.78%
"Nov 24, 2020",10.27,10.1,10.39,10.01,9.54M,2.29%
"Nov 23, 2020",10.04,10,10.37,9.95,10.49M,1.01%
"Nov 20, 2020",9.94,9.99,10.12,9.9,6.14M,0.00%
"Nov 19, 2020",9.94,10.19,10.22,9.88,10.35M,-2.07%
"Nov 18, 2020",10.15,9.82,10.18,9.78,10.52M,3.57%
"Nov 17, 2020",9.8,9.82,9.93,9.75,7.42M,-0.61%
"Nov 16, 2020",9.86,10.05,10.1,9.77,9.44M,-0.80%
"Nov 13, 2020",9.94,10.15,10.2,9.94,7.71M,-0.90%
"Nov 12, 2020",10.03,10.1,10.59,10,14.10M,-0.10%
"Nov 11, 2020",10.04,10.25,10.41,10,8.24M,-1.76%
"Nov 10, 2020",10.22,10.07,10.47,9.93,14.14M,1.69%
"Nov 09, 2020",10.05,10.32,10.43,10.05,17.79M,-3.37%
"Nov 06, 2020",10.4,10.27,10.49,10.16,8.73M,1.07%
"Nov 05, 2020",10.29,10.16,10.33,9.86,11.33M,3.63%
"Nov 04, 2020",9.93,10.01,10.33,9.92,12.69M,1.02%
"Nov 03, 2020",9.83,10.28,10.3,9.75,10.14M,-1.40%
"Oct 30, 2020",9.97,10.23,10.28,9.88,7.49M,-3.20%
"Oct 29, 2020",10.3,10.22,10.43,10.14,5.21M,-0.19%
"Oct 28, 2020",10.32,10.55,10.55,10.12,7.91M,-3.91%
"Oct 27, 2020",10.74,11.13,11.14,10.73,6.17M,-3.24%
"Oct 26, 2020",11.1,11.08,11.21,10.96,3.69M,0.91%
"Oct 23, 2020",11,11.19,11.28,11,6.13M,-2.05%
"Oct 22, 2020",11.23,11.28,11.48,11.11,7.05M,-0.27%
"Oct 21, 2020",11.26,11.48,11.53,11.21,4.83M,-2.26%
"Oct 20, 2020",11.52,11.32,11.54,11.26,6.77M,2.13%
"Oct 19, 2020",11.28,11.46,11.5,11.2,9.12M,-1.05%
"Oct 16, 2020",11.4,11.46,11.66,11.37,6.05M,0.00%
"Oct 15, 2020",11.4,11.34,11.6,11.22,5.99M,-0.44%
"Oct 14, 2020",11.45,11.2,11.52,11.18,5.63M,2.60%
"Oct 13, 2020",11.16,11.07,11.24,10.95,7.61M,1.36%
"Oct 09, 2020",11.01,11.08,11.2,10.87,9.60M,-2.31%
"Oct 08, 2020",11.27,11.1,11.31,10.89,6.28M,2.18%
"Oct 07, 2020",11.03,11.08,11.14,10.81,6.88M,0.73%
"Oct 06, 2020",10.95,11.41,11.43,10.95,6.03M,-3.52%
"Oct 05, 2020",11.35,11.36,11.41,11.21,5.44M,0.89%
"Oct 02, 2020",11.25,11.5,11.52,11.25,5.02M,-2.60%
"Oct 01, 2020",11.55,11.89,11.94,11.2,13.45M,-1.62%
"Sep 30, 2020",11.74,11.27,11.86,10.93,15.30M,4.63%
"Sep 29, 2020",11.22,11.22,11.58,11.07,6.11M,-1.15%
"Sep 28, 2020",11.35,12.1,12.1,11.27,7.50M,-5.02%
"Sep 25, 2020",11.95,12.07,12.23,11.85,4.37M,-1.57%
