Date,Price,Open,High,Low,Vol.,Change %
"Mar 31, 2021","5,150.00","5,100.00","5,170.00","5,100.00",212.44K,0.98%
"Mar 30, 2021","5,100.00","5,010.00","5,100.00","5,010.00",583.70K,1.09%
"Mar 29, 2021","5,045.00","5,020.00","5,045.00","5,015.00",117.54K,0.50%
"Mar 26, 2021","5,020.00","5,085.00","5,085.00","4,980.00",203.46K,-0.20%
"Mar 25, 2021","5,030.00","5,035.00","5,045.00","4,950.00",317.06K,0.10%
"Mar 24, 2021","5,025.00","5,000.00","5,060.00","5,000.00",660.95K,0.76%
"Mar 23, 2021","4,987.00","5,020.00","5,115.00","4,935.00",1.32M,2.82%
"Mar 19, 2021","4,850.00","5,025.00","5,025.00","4,850.00",3.58M,-3.39%
"Mar 18, 2021","5,020.00","5,195.00","5,195.00","5,020.00",1.16M,-3.37%
"Mar 17, 2021","5,195.00","5,310.00","5,310.00","5,195.00",186.32K,-1.98%
"Mar 16, 2021","5,300.00","5,435.00","5,490.00","5,300.00",225.08K,-2.48%
"Mar 15, 2021","5,435.00","5,500.00","5,500.00","5,415.00",134.34K,-0.82%
"Mar 12, 2021","5,480.00","5,510.00","5,520.00","5,420.00",99.03K,-0.36%
"Mar 11, 2021","5,500.00","5,450.00","5,500.00","5,450.00",191.28K,0.92%
"Mar 10, 2021","5,450.00","5,530.00","5,530.00","5,395.00",96.05K,0.83%
"Mar 09, 2021","5,405.00","5,365.00","5,435.00","5,365.00",112.34K,0.65%
"Mar 08, 2021","5,370.00","5,425.00","5,485.00","5,370.00",111.84K,-0.65%
"Mar 05, 2021","5,405.00","5,275.00","5,405.00","5,245.00",290.29K,0.19%
"Mar 04, 2021","5,395.00","5,430.00","5,430.00","5,215.00",200.91K,-0.64%
"Mar 03, 2021","5,430.00","5,550.00","5,550.00","5,430.00",269.89K,-2.69%
"Mar 02, 2021","5,580.00","5,600.00","5,610.00","5,525.00",105.64K,-0.53%
"Mar 01, 2021","5,610.00","5,620.00","5,705.00","5,610.00",62.12K,-2.77%
"Feb 26, 2021","5,770.00","5,700.00","5,770.00","5,560.00",189.98K,1.23%
"Feb 25, 2021","5,700.00","5,845.00","5,845.00","5,700.00",189.03K,-2.48%
"Feb 24, 2021","5,845.00","5,750.00","5,845.00","5,730.00",500.47K,0.52%
"Feb 23, 2021","5,815.00","5,725.00","5,815.00","5,700.00",339.71K,0.78%
"Feb 22, 2021","5,770.00","5,710.00","5,770.00","5,605.00",454.57K,0.52%
"Feb 19, 2021","5,740.00","5,770.00","5,775.00","5,735.00",73.75K,-0.52%
"Feb 18, 2021","5,770.00","5,820.00","5,870.00","5,760.00",154.07K,-2.12%
"Feb 17, 2021","5,895.00","5,805.00","5,895.00","5,805.00",41.19K,-0.25%
"Feb 16, 2021","5,910.00","5,820.00","5,910.00","5,760.00",408.93K,1.63%
"Feb 15, 2021","5,815.00","5,890.00","5,890.00","5,800.00",102.95K,-0.85%
"Feb 12, 2021","5,865.00","5,790.00","5,940.00","5,790.00",123.17K,-1.10%
"Feb 11, 2021","5,930.00","5,745.00","5,930.00","5,740.00",153.78K,3.13%
"Feb 10, 2021","5,750.00","5,810.00","5,880.00","5,750.00",468.56K,-1.03%
"Feb 09, 2021","5,810.00","5,870.00","5,870.00","5,810.00",265.73K,-1.02%
"Feb 08, 2021","5,870.00","5,900.00","5,970.00","5,850.00",1.07M,0.00%
"Feb 05, 2021","5,870.00","5,900.00","5,950.00","5,865.00",644.63K,-0.51%
"Feb 04, 2021","5,900.00","5,980.00","5,980.00","5,900.00",432.05K,-1.67%
"Feb 03, 2021","6,000.00","5,930.00","6,030.00","5,930.00",550.67K,1.18%
"Feb 02, 2021","5,930.00","5,850.00","5,930.00","5,850.00",173.62K,1.89%
"Feb 01, 2021","5,820.00","5,930.00","5,930.00","5,805.00",445.79K,-0.34%
"Jan 29, 2021","5,840.00","5,845.00","5,895.00","5,785.00",1.11M,0.52%
"Jan 28, 2021","5,810.00","5,810.00","5,810.00","5,790.00",180.13K,-0.34%
"Jan 27, 2021","5,830.00","5,800.00","5,885.00","5,755.00",630.62K,0.00%
"Jan 26, 2021","5,830.00","5,870.00","5,945.00","5,765.00",108.14K,-0.68%
"Jan 25, 2021","5,870.00","5,800.00","6,000.00","5,800.00",100.03K,-2.17%
"Jan 22, 2021","6,000.00","5,950.00","6,000.00","5,890.00",376.79K,0.00%
"Jan 21, 2021","6,000.00","5,980.00","6,045.00","5,980.00",527.82K,0.50%
"Jan 20, 2021","5,970.00","5,950.00","5,975.00","5,910.00",93.78K,0.34%
"Jan 19, 2021","5,950.00","5,865.00","5,950.00","5,865.00",112.08K,1.54%
"Jan 18, 2021","5,860.00","5,855.00","5,860.00","5,850.00",83.76K,-0.09%
"Jan 15, 2021","5,865.00","5,980.00","5,980.00","5,865.00",208.32K,-1.10%
"Jan 14, 2021","5,930.00","5,910.00","6,000.00","5,900.00",450.71K,0.25%
"Jan 13, 2021","5,915.00","5,910.00","5,920.00","5,870.00",431.28K,0.25%
"Jan 12, 2021","5,900.00","5,895.00","5,950.00","5,850.00",404.93K,0.51%
"Jan 08, 2021","5,870.00","5,805.00","5,870.00","5,790.00",154.80K,2.98%
"Jan 07, 2021","5,700.00","5,860.00","5,985.00","5,700.00",539.18K,-2.81%
"Jan 06, 2021","5,865.00","5,860.00","5,955.00","5,860.00",338.98K,0.09%
"Jan 05, 2021","5,860.00","6,000.00","6,000.00","5,860.00",457.03K,-3.93%
"Jan 04, 2021","6,100.00","6,110.00","6,160.00","5,900.00",454.99K,-1.29%
"Dec 30, 2020","6,180.00","6,180.00","6,275.00","6,020.00",651.79K,0.00%
"Dec 29, 2020","6,180.00","5,900.00","6,180.00","5,900.00",876.72K,4.92%
"Dec 28, 2020","5,890.00","5,705.00","5,890.00","5,705.00",339.87K,3.33%
"Dec 24, 2020","5,700.00","5,780.00","5,780.00","5,700.00",10.42K,-0.87%
"Dec 23, 2020","5,750.00","5,870.00","5,890.00","5,720.00",527.28K,-1.20%
"Dec 22, 2020","5,820.00","5,680.00","5,845.00","5,600.00",521.75K,3.93%
"Dec 21, 2020","5,600.00","5,825.00","5,825.00","5,380.00",1.09M,-4.03%
"Dec 18, 2020","5,835.00","5,840.00","5,870.00","5,805.00",1.10M,0.60%
"Dec 17, 2020","5,800.00","5,725.00","5,855.00","5,725.00",534.40K,1.49%
"Dec 16, 2020","5,715.00","5,635.00","5,735.00","5,630.00",882.06K,1.69%
"Dec 15, 2020","5,620.00","5,690.00","5,690.00","5,590.00",278.60K,-0.35%
"Dec 14, 2020","5,640.00","5,400.00","5,710.00","5,400.00",1.71M,0.71%
"Dec 11, 2020","5,600.00","5,440.00","5,600.00","5,305.00",663.62K,2.75%
"Dec 10, 2020","5,450.00","5,550.00","5,760.00","5,345.00",942.57K,-1.09%
"Dec 09, 2020","5,510.00","5,485.00","5,515.00","5,400.00",774.20K,2.99%
"Dec 07, 2020","5,350.00","5,210.00","5,500.00","5,210.00",624.96K,1.13%
"Dec 04, 2020","5,290.00","5,110.00","5,320.00","5,075.00",581.92K,5.69%
"Dec 03, 2020","5,005.00","5,055.00","5,090.00","4,956.00",442.34K,-0.50%
"Dec 02, 2020","5,030.00","5,100.00","5,150.00","5,030.00",903.99K,-1.37%
"Dec 01, 2020","5,100.00","5,050.00","5,150.00","5,025.00",505.98K,2.41%
"Nov 30, 2020","4,980.00","5,045.00","5,050.00","4,971.00",471.60K,-1.39%
"Nov 27, 2020","5,050.00","5,015.00","5,050.00","4,980.00",258.04K,0.50%
"Nov 26, 2020","5,025.00","5,055.00","5,055.00","5,010.00",348.69K,-1.08%
"Nov 25, 2020","5,080.00","5,000.00","5,080.00","4,906.00",507.19K,0.59%
"Nov 24, 2020","5,050.00","4,900.00","5,080.00","4,900.00",772.82K,3.06%
"Nov 23, 2020","4,900.00","4,830.00","4,900.00","4,806.00",431.29K,2.51%
"Nov 20, 2020","4,780.00","4,740.00","4,795.00","4,724.00",87.88K,0.63%
"Nov 19, 2020","4,750.00","4,850.00","4,850.00","4,750.00",242.94K,-1.78%
"Nov 18, 2020","4,836.00","4,787.00","4,870.00","4,787.00",146.92K,0.33%
"Nov 17, 2020","4,820.00","4,800.00","4,850.00","4,786.00",208.12K,0.42%
"Nov 13, 2020","4,800.00","4,830.00","4,830.00","4,800.00",117.67K,-0.02%
"Nov 12, 2020","4,801.00","4,800.00","4,830.00","4,774.00",535.20K,-0.83%
"Nov 11, 2020","4,841.00","4,800.00","4,872.00","4,791.00",1.06M,2.26%
"Nov 10, 2020","4,734.00","4,750.00","4,790.00","4,700.00",331.74K,-0.34%
"Nov 09, 2020","4,750.00","4,697.00","4,899.00","4,697.00",2.03M,4.05%
"Nov 06, 2020","4,565.00","4,600.00","4,650.00","4,565.00",329.00K,-0.63%
"Nov 05, 2020","4,594.00","4,540.00","4,615.00","4,540.00",174.26K,0.11%
"Nov 04, 2020","4,589.00","4,590.00","4,615.00","4,570.00",356.26K,0.42%
"Nov 03, 2020","4,570.00","4,560.00","4,589.00","4,550.00",339.12K,0.33%
"Oct 30, 2020","4,555.00","4,260.00","4,555.00","4,260.00",606.83K,5.93%
"Oct 29, 2020","4,300.00","4,030.00","4,300.00","4,010.00",520.28K,4.09%
"Oct 28, 2020","4,131.00","4,446.00","4,496.00","4,131.00",539.12K,-7.89%
"Oct 27, 2020","4,485.00","4,511.00","4,524.00","4,450.00",361.77K,-0.60%
"Oct 26, 2020","4,512.00","4,505.00","4,512.00","4,500.00",32.01K,-1.53%
"Oct 23, 2020","4,582.00","4,582.00","4,582.00","4,582.00",9.59K,0.20%
"Oct 22, 2020","4,573.00","4,576.00","4,576.00","4,522.00",88.93K,0.68%
"Oct 21, 2020","4,542.00","4,600.00","4,600.00","4,542.00",245.65K,-0.87%
"Oct 20, 2020","4,582.00","4,580.00","4,625.00","4,530.00",625.59K,0.48%
"Oct 19, 2020","4,560.00","4,595.00","4,685.00","4,560.00",584.17K,0.00%
"Oct 16, 2020","4,560.00","4,565.00","4,591.00","4,550.00",147.21K,-0.11%
"Oct 15, 2020","4,565.00","4,596.00","4,596.00","4,531.00",1.73M,-0.33%
"Oct 14, 2020","4,580.00","4,505.00","4,580.00","4,505.00",370.04K,1.10%
"Oct 13, 2020","4,530.00","4,611.00","4,611.00","4,506.00",124.73K,-2.48%
"Oct 09, 2020","4,645.00","4,600.00","4,649.00","4,600.00",162.59K,0.26%
"Oct 08, 2020","4,633.00","4,600.00","4,633.00","4,585.00",317.93K,1.58%
"Oct 07, 2020","4,561.00","4,630.00","4,630.00","4,520.00",166.24K,0.91%
"Oct 06, 2020","4,520.00","4,551.00","4,579.00","4,520.00",45.07K,-0.66%
"Oct 05, 2020","4,550.00","4,590.00","4,590.00","4,550.00",20.63K,0.22%
"Oct 02, 2020","4,540.00","4,600.00","4,600.00","4,530.00",70.44K,-1.09%
"Oct 01, 2020","4,590.00","4,490.00","4,640.00","4,490.00",116.05K,-0.86%
"Sep 30, 2020","4,630.00","4,540.00","4,630.00","4,535.00",187.17K,1.98%
"Sep 29, 2020","4,540.00","4,610.00","4,610.00","4,530.00",377.91K,-1.52%
"Sep 28, 2020","4,610.00","4,785.00","4,785.00","4,610.00",251.70K,0.44%
"Sep 25, 2020","4,590.00","4,470.00","4,590.00","4,470.00",265.13K,2.00%
"Sep 24, 2020","4,500.00","4,600.00","4,650.00","4,500.00",388.04K,-3.23%
"Sep 23, 2020","4,650.00","4,780.00","4,785.00","4,650.00",473.64K,-2.72%
"Sep 22, 2020","4,780.00","4,750.00","4,870.00","4,750.00",544.32K,0.63%
"Sep 21, 2020","4,750.00","4,600.00","4,750.00","4,560.00",360.54K,1.06%
"Sep 18, 2020","4,700.00","4,415.00","4,700.00","4,410.00",4.02M,6.58%
"Sep 17, 2020","4,410.00","4,585.00","4,585.00","4,400.00",1.87M,-3.82%
"Sep 16, 2020","4,585.00","4,780.00","4,780.00","4,585.00",621.69K,-1.82%
"Sep 15, 2020","4,670.00","4,860.00","4,860.00","4,670.00",386.94K,-3.91%
"Sep 14, 2020","4,860.00","5,000.00","5,000.00","4,860.00",335.53K,-1.02%
"Sep 11, 2020","4,910.00","5,040.00","5,040.00","4,910.00",826.97K,-0.20%
"Sep 10, 2020","4,920.00","5,050.00","5,050.00","4,920.00",285.10K,-2.77%
"Sep 09, 2020","5,060.00","5,090.00","5,130.00","5,060.00",248.75K,0.60%
"Sep 08, 2020","5,030.00","4,900.00","5,100.00","4,900.00",230.33K,-0.40%
"Sep 07, 2020","5,050.00","5,000.00","5,050.00","5,000.00",247.72K,0.00%
"Sep 04, 2020","5,050.00","5,080.00","5,080.00","4,860.00",847.44K,1.00%
"Sep 03, 2020","5,000.00","5,170.00","5,170.00","4,985.00",650.99K,-3.29%
"Sep 02, 2020","5,170.00","5,110.00","5,300.00","5,110.00",361.01K,1.77%
"Sep 01, 2020","5,080.00","5,000.00","5,170.00","5,000.00",1.09M,1.60%
"Aug 31, 2020","5,000.00","4,890.00","5,000.00","4,860.00",1.15M,2.15%
"Aug 28, 2020","4,895.00","4,850.00","4,980.00","4,850.00",1.60M,-0.10%
"Aug 27, 2020","4,900.00","4,850.00","4,965.00","4,840.00",564.43K,-0.71%
"Aug 26, 2020","4,935.00","4,820.00","4,955.00","4,800.00",2.15M,2.17%
"Aug 25, 2020","4,830.00","4,730.00","4,830.00","4,730.00",858.60K,2.77%
"Aug 24, 2020","4,700.00","4,440.00","4,785.00","4,440.00",1.06M,5.62%
"Aug 21, 2020","4,450.00","4,360.00","4,535.00","4,360.00",1.14M,1.14%
"Aug 20, 2020","4,400.00","4,280.00","4,400.00","4,240.00",2.17M,2.56%
"Aug 19, 2020","4,290.00","4,180.00","4,290.00","4,125.00",1.42M,2.63%
"Aug 18, 2020","4,180.00","4,025.00","4,180.00","4,025.00",198.39K,3.59%
"Aug 14, 2020","4,035.00","4,030.00","4,050.00","4,000.00",371.17K,0.25%
"Aug 13, 2020","4,025.00","3,940.00","4,040.00","3,940.00",139.78K,0.50%
"Aug 12, 2020","4,005.00","4,000.00","4,035.00","3,985.00",239.32K,0.13%
"Aug 11, 2020","4,000.00","4,010.00","4,045.00","3,985.00",632.81K,-0.25%
"Aug 10, 2020","4,010.00","4,045.00","4,045.00","4,000.00",367.68K,-0.62%
"Aug 06, 2020","4,035.00","3,870.00","4,035.00","3,870.00",1.50M,6.18%
"Aug 05, 2020","3,800.00","3,815.00","3,870.00","3,735.00",501.78K,1.88%
"Aug 04, 2020","3,730.00","3,850.00","3,875.00","3,730.00",290.45K,-2.86%
"Aug 03, 2020","3,840.00","3,890.00","3,900.00","3,795.00",2.23M,4.92%
"Jul 31, 2020","3,660.00","4,010.00","4,040.00","3,660.00",3.29M,-9.85%
"Jul 30, 2020","4,060.00","4,070.00","4,110.00","4,060.00",311.25K,-0.98%
"Jul 29, 2020","4,100.00","4,105.00","4,115.00","4,065.00",138.34K,0.00%
"Jul 28, 2020","4,100.00","4,150.00","4,165.00","4,080.00",205.92K,-1.20%
"Jul 27, 2020","4,150.00","4,170.00","4,170.00","4,095.00",235.67K,1.10%
"Jul 24, 2020","4,105.00","4,200.00","4,220.00","4,105.00",339.57K,-1.08%
"Jul 23, 2020","4,150.00","3,995.00","4,200.00","3,990.00",598.44K,3.62%
"Jul 22, 2020","4,005.00","3,920.00","4,010.00","3,880.00",805.14K,2.17%
"Jul 21, 2020","3,920.00","3,740.00","3,920.00","3,740.00",475.26K,4.26%
"Jul 17, 2020","3,760.00","3,730.00","3,785.00","3,700.00",197.17K,0.40%
"Jul 16, 2020","3,745.00","3,730.00","3,745.00","3,675.00",145.72K,1.22%
