Date,Price,Open,High,Low,Vol.,Change %
"Mar 31, 2021",3.75,3.74,3.82,3.71,1.57M,0.54%
"Mar 30, 2021",3.73,3.71,3.76,3.67,3.43M,0.81%
"Mar 29, 2021",3.7,3.69,3.73,3.68,1.25M,-0.27%
"Mar 28, 2021",3.71,3.76,3.76,3.68,2.34M,0.00%
"Mar 25, 2021",3.71,3.62,3.78,3.59,2.50M,1.37%
"Mar 24, 2021",3.66,3.69,3.74,3.6,1.75M,1.95%
"Mar 23, 2021",3.59,3.57,3.69,3.48,5.22M,-1.10%
"Mar 22, 2021",3.63,3.7,3.7,3.55,3.85M,-1.89%
"Mar 21, 2021",3.7,3.79,3.8,3.65,1.93M,-2.12%
"Mar 18, 2021",3.78,3.77,3.81,3.76,2.10M,-0.53%
"Mar 17, 2021",3.8,3.85,3.85,3.77,2.28M,0.26%
"Mar 16, 2021",3.79,3.78,3.85,3.7,3.54M,1.07%
"Mar 15, 2021",3.75,3.78,3.83,3.69,2.83M,-1.06%
"Mar 14, 2021",3.79,3.76,3.83,3.75,2.04M,1.07%
"Mar 11, 2021",3.75,3.8,3.8,3.72,3.48M,-0.53%
"Mar 10, 2021",3.77,3.78,3.82,3.74,5.15M,-1.82%
"Mar 09, 2021",3.84,3.84,3.91,3.77,4.05M,0.26%
"Mar 08, 2021",3.83,3.85,3.88,3.8,2.65M,0.26%
"Mar 07, 2021",3.82,3.86,3.87,3.79,2.40M,0.26%
"Mar 04, 2021",3.81,3.85,3.87,3.76,1.75M,0.26%
"Mar 03, 2021",3.8,3.87,3.9,3.73,3.73M,-2.81%
"Mar 02, 2021",3.91,4,4,3.83,4.35M,-1.51%
"Mar 01, 2021",3.97,3.91,4.02,3.86,11.67M,2.85%
"Feb 28, 2021",3.86,3.81,3.93,3.75,7.18M,3.21%
"Feb 25, 2021",3.74,3.71,3.81,3.7,2.44M,1.91%
"Feb 24, 2021",3.67,3.64,3.74,3.64,2.13M,-0.27%
"Feb 23, 2021",3.68,3.75,3.79,3.64,3.56M,-2.13%
"Feb 22, 2021",3.76,3.76,3.81,3.74,1.72M,0.00%
"Feb 21, 2021",3.76,3.76,3.81,3.73,995.83K,1.35%
"Feb 18, 2021",3.71,3.77,3.77,3.58,2.80M,-2.11%
"Feb 17, 2021",3.79,3.83,3.83,3.76,1.15M,-1.30%
"Feb 16, 2021",3.84,3.82,3.88,3.8,1.03M,0.52%
"Feb 15, 2021",3.82,3.85,3.85,3.77,1.75M,-1.29%
"Feb 14, 2021",3.87,3.9,3.91,3.82,2.11M,-0.26%
"Feb 11, 2021",3.88,3.89,3.91,3.86,1.61M,0.26%
"Feb 10, 2021",3.87,3.85,3.9,3.84,1.47M,1.04%
"Feb 09, 2021",3.83,3.84,3.86,3.81,1.87M,-0.52%
"Feb 08, 2021",3.85,3.96,3.97,3.79,4.93M,-2.28%
"Feb 07, 2021",3.94,3.97,3.98,3.92,3.00M,0.25%
"Feb 04, 2021",3.93,3.95,3.96,3.9,3.90M,-1.26%
"Feb 03, 2021",3.98,4,4.04,3.94,5.88M,-0.75%
"Feb 02, 2021",4.01,4,4.09,3.96,8.42M,0.75%
"Feb 01, 2021",3.98,3.98,4.02,3.95,2.70M,0.51%
"Jan 31, 2021",3.96,3.97,4.01,3.91,5.11M,-0.50%
"Jan 27, 2021",3.98,4.03,4.05,3.94,10.08M,-1.49%
"Jan 26, 2021",4.04,4.1,4.1,4,10.06M,-1.22%
"Jan 25, 2021",4.09,4.03,4.12,4.03,14.28M,1.74%
"Jan 24, 2021",4.02,4.04,4.06,3.98,9.29M,-0.50%
"Jan 21, 2021",4.04,3.97,4.11,3.97,19.31M,2.80%
"Jan 20, 2021",3.93,3.94,3.96,3.9,5.33M,1.29%
"Jan 19, 2021",3.88,3.86,3.91,3.84,4.04M,-0.26%
"Jan 18, 2021",3.89,4,4,3.83,5.98M,-2.51%
"Jan 17, 2021",3.99,3.95,4.03,3.93,4.97M,0.76%
"Jan 14, 2021",3.96,3.98,4,3.94,5.42M,-0.75%
"Jan 13, 2021",3.99,3.9,4.04,3.9,10.59M,2.57%
"Jan 12, 2021",3.89,3.91,3.93,3.86,2.04M,-1.02%
"Jan 11, 2021",3.93,3.93,3.95,3.9,3.03M,0.26%
"Jan 10, 2021",3.92,3.99,3.99,3.89,3.36M,-0.51%
"Jan 06, 2021",3.94,3.95,4,3.9,5.85M,-0.25%
"Jan 05, 2021",3.95,3.99,3.99,3.91,4.39M,0.51%
"Jan 04, 2021",3.93,3.85,3.98,3.85,14.77M,2.61%
"Jan 03, 2021",3.83,3.79,3.87,3.79,3.57M,0.26%
"Dec 31, 2020",3.82,3.82,3.85,3.77,1.65M,0.00%
"Dec 30, 2020",3.82,3.79,3.86,3.76,3.76M,1.60%
"Dec 29, 2020",3.76,3.74,3.79,3.7,1.74M,1.08%
"Dec 28, 2020",3.72,3.65,3.76,3.65,1.93M,1.92%
"Dec 27, 2020",3.65,3.7,3.7,3.6,1.12M,-0.27%
"Dec 24, 2020",3.66,3.7,3.7,3.62,2.24M,-0.54%
"Dec 23, 2020",3.68,3.7,3.72,3.65,961.91K,0.55%
"Dec 22, 2020",3.66,3.6,3.69,3.56,2.73M,0.27%
"Dec 21, 2020",3.65,3.79,3.79,3.5,11.56M,-4.95%
"Dec 20, 2020",3.84,3.81,3.92,3.79,2.86M,0.79%
"Dec 17, 2020",3.81,3.76,3.86,3.73,4.73M,0.53%
"Dec 16, 2020",3.79,3.84,3.88,3.74,2.44M,-3.07%
"Dec 15, 2020",3.91,3.9,3.96,3.83,6.50M,1.30%
"Dec 14, 2020",3.86,3.85,3.9,3.82,2.69M,1.58%
"Dec 13, 2020",3.8,3.75,3.85,3.73,1.58M,1.06%
"Dec 10, 2020",3.76,3.8,3.81,3.73,3.08M,-1.57%
"Dec 09, 2020",3.82,3.8,3.86,3.78,3.27M,0.79%
"Dec 08, 2020",3.79,3.79,3.82,3.77,3.25M,0.26%
"Dec 07, 2020",3.78,3.79,3.81,3.76,1.98M,0.00%
"Dec 06, 2020",3.78,3.82,3.84,3.76,2.54M,-0.26%
"Dec 03, 2020",3.79,3.8,3.83,3.75,2.70M,-0.26%
"Dec 02, 2020",3.8,3.86,3.9,3.75,4.98M,-0.78%
"Dec 01, 2020",3.83,3.83,3.85,3.79,3.15M,0.00%
"Nov 30, 2020",3.83,3.91,3.91,3.78,14.60M,-2.05%
"Nov 29, 2020",3.91,3.9,3.95,3.88,1.77M,0.51%
"Nov 26, 2020",3.89,3.95,3.99,3.85,4.76M,-2.26%
"Nov 25, 2020",3.98,4.05,4.06,3.92,5.48M,-1.24%
"Nov 24, 2020",4.03,4,4.08,3.97,6.41M,1.26%
"Nov 23, 2020",3.98,3.97,4.01,3.94,3.89M,1.02%
"Nov 22, 2020",3.94,3.95,4,3.9,2.46M,-0.76%
"Nov 19, 2020",3.97,3.92,4.05,3.87,6.23M,-0.50%
"Nov 18, 2020",3.99,4.04,4.05,3.92,7.55M,-1.72%
"Nov 17, 2020",4.06,4.03,4.12,4,14.55M,2.78%
"Nov 16, 2020",3.95,3.89,4.04,3.88,10.41M,1.80%
"Nov 15, 2020",3.88,3.91,3.92,3.85,1.77M,-0.26%
"Nov 12, 2020",3.89,3.88,3.95,3.83,7.35M,1.30%
"Nov 11, 2020",3.84,3.84,3.87,3.81,4.57M,-1.03%
"Nov 10, 2020",3.88,3.99,4,3.81,11.00M,2.92%
"Nov 09, 2020",3.77,3.64,3.89,3.64,11.30M,4.43%
"Nov 08, 2020",3.61,3.6,3.63,3.59,2.06M,-0.55%
