Date,Price,Open,High,Low,Vol.,Change %
"Mar 31, 2021",291.02,294,294.42,290.26,47.00M,-0.76%
"Mar 30, 2021",293.25,294.86,295.72,291.5,38.81M,-0.02%
"Mar 29, 2021",293.3,289.72,294.09,289.26,43.68M,0.71%
"Mar 26, 2021",291.22,288.63,292.75,288.32,56.07M,1.59%
"Mar 25, 2021",286.66,286.5,287.03,283.85,35.22M,0.30%
"Mar 24, 2021",285.79,283.4,288,282.25,46.41M,1.13%
"Mar 23, 2021",282.6,287.56,288.3,282.11,70.76M,-2.10%
"Mar 22, 2021",288.65,285,291.2,283.08,62.76M,1.11%
"Mar 19, 2021",285.47,279,286.31,278.03,84.25M,2.23%
"Mar 18, 2021",279.25,284.04,285.79,278.24,74.13M,-1.45%
"Mar 17, 2021",283.35,292.35,293.25,279.6,110.29M,-3.07%
"Mar 16, 2021",292.33,293.06,293.88,288.61,53.92M,-0.14%
"Mar 15, 2021",292.74,286.05,292.92,285.28,67.81M,2.74%
"Mar 12, 2021",284.93,286.3,287.49,282.82,51.54M,-0.37%
"Mar 11, 2021",286,283.84,286.38,282.3,47.37M,1.33%
"Mar 10, 2021",282.24,285.24,288,281,55.16M,-1.24%
"Mar 09, 2021",285.79,278.8,286.38,277.56,72.79M,2.99%
"Mar 05, 2021",277.5,276,278.98,272.76,83.55M,1.00%
"Mar 04, 2021",274.75,278.5,281.96,273.63,91.99M,-1.17%
"Mar 03, 2021",278.01,281.7,283.83,277.63,64.28M,-0.39%
"Mar 02, 2021",279.1,271.89,280,271.6,71.57M,2.02%
"Mar 01, 2021",273.58,273,274.73,271.13,35.96M,1.26%
"Feb 26, 2021",270.17,268,272.49,266.43,74.89M,-0.20%
"Feb 25, 2021",270.71,273.6,276.48,270.65,79.72M,-0.44%
"Feb 24, 2021",271.9,272.12,272.75,269.42,64.19M,-0.66%
"Feb 22, 2021",273.71,270.1,274.46,268.12,48.13M,1.18%
"Feb 20, 2021",270.51,271,271,269.02,8.76M,-0.31%
"Feb 19, 2021",271.34,266.12,272.81,264.19,59.27M,1.63%
"Feb 18, 2021",266.99,270.35,272.46,266.21,58.73M,-1.44%
"Feb 17, 2021",270.9,270.99,275.07,267.56,79.10M,0.00%
"Feb 16, 2021",270.9,272.3,272.8,268.27,63.10M,-0.33%
"Feb 15, 2021",271.81,268.49,271.87,267.07,56.95M,2.18%
"Feb 12, 2021",266,264,266.44,258.55,81.66M,0.49%
"Feb 11, 2021",264.7,265.5,266.9,263.75,38.67M,-0.45%
"Feb 10, 2021",265.9,269.28,270.99,265.2,63.09M,-1.15%
"Feb 09, 2021",268.98,275.99,276.29,267.19,91.92M,-2.26%
"Feb 08, 2021",275.2,273.01,275.58,272.32,51.88M,1.29%
"Feb 05, 2021",271.7,271.99,272.57,268.87,71.81M,0.59%
"Feb 04, 2021",270.11,263.21,270.6,262.34,78.93M,2.50%
"Feb 03, 2021",263.53,264.32,268.14,261.05,77.65M,0.14%
"Feb 02, 2021",263.15,265,268.39,263.05,79.53M,-0.25%
"Feb 01, 2021",263.8,260,264.06,258.73,63.13M,2.20%
"Jan 29, 2021",258.11,263.77,264.75,257.36,120.12M,-2.95%
"Jan 28, 2021",265.96,263.5,267.17,261.17,81.25M,0.17%
"Jan 27, 2021",265.5,270.07,273.8,265.02,100.09M,-1.43%
"Jan 26, 2021",269.34,262.7,269.57,262.61,75.23M,1.52%
"Jan 25, 2021",265.3,271,273.63,261.65,114.33M,-1.10%
"Jan 22, 2021",268.25,273,273.3,266.78,87.01M,-2.24%
"Jan 21, 2021",274.4,280.75,281.54,272.84,83.80M,-1.93%
"Jan 20, 2021",279.8,278.62,282.49,276.77,47.94M,0.58%
"Jan 19, 2021",278.19,280.98,282.8,276.42,56.00M,-0.57%
"Jan 18, 2021",279.79,275.72,281.3,272.95,73.94M,1.04%
"Jan 15, 2021",276.9,282.55,286.16,276,73.77M,-2.77%
"Jan 14, 2021",284.79,284,286.9,279.06,74.67M,0.36%
"Jan 13, 2021",283.78,291.01,292.46,283.1,67.56M,-2.14%
"Jan 12, 2021",289.99,290.88,296.07,286.7,78.96M,0.17%
"Jan 11, 2021",289.49,282.86,292.95,279.48,112.35M,2.06%
"Jan 08, 2021",283.64,275.11,283.99,275.11,88.93M,3.92%
"Jan 06, 2021",272.93,275.94,275.94,271.62,40.95M,-0.82%
"Jan 05, 2021",275.2,272.69,275.7,270.28,45.58M,1.18%
"Jan 04, 2021",272,274.67,276.6,270.61,48.92M,0.13%
"Dec 30, 2020",271.65,272.49,274.24,270.12,31.53M,-0.13%
"Dec 29, 2020",272,275.91,276.43,271.26,39.02M,-0.98%
"Dec 28, 2020",274.7,270.9,275.19,269.73,39.04M,1.50%
"Dec 25, 2020",270.64,269.97,271,268.28,11.99M,0.49%
"Dec 24, 2020",269.32,271.98,272.82,267.13,42.61M,-0.29%
"Dec 23, 2020",270.1,262.25,270.29,260.22,67.94M,3.08%
"Dec 22, 2020",262.04,259.55,267.42,257.05,105.49M,0.10%
"Dec 21, 2020",261.79,266.2,267.34,259.7,120.52M,-3.10%
"Dec 18, 2020",270.16,277.22,277.4,268.52,99.27M,-2.99%
"Dec 17, 2020",278.5,279.81,285.16,276.54,92.14M,0.05%
"Dec 16, 2020",278.35,278,280.84,276.14,54.75M,-0.13%
"Dec 15, 2020",278.7,278.53,283.76,276.07,84.19M,-0.45%
"Dec 14, 2020",279.95,285.01,287.74,277.1,90.42M,-1.33%
"Dec 11, 2020",283.73,282.5,284.6,279.78,76.10M,0.54%
"Dec 10, 2020",282.2,276.55,282.2,275.2,75.66M,1.92%
"Dec 09, 2020",276.89,276.4,279.42,275.87,73.64M,0.51%
"Dec 08, 2020",275.49,274.5,276.66,271.52,78.86M,0.41%
"Dec 07, 2020",274.36,269,276.13,268.1,94.79M,1.61%
"Dec 04, 2020",270,264.63,270.84,264.5,94.64M,2.61%
"Dec 03, 2020",263.14,264.5,264.63,260.85,62.24M,-0.35%
"Dec 02, 2020",264.06,260.05,264.99,258.8,93.45M,1.25%
"Dec 01, 2020",260.81,250.75,260.99,249.8,132.07M,4.48%
"Nov 30, 2020",249.63,249.72,251,245.98,112.14M,-0.78%
