Date,Price,Open,High,Low,Vol.,Change %
"Mar 31, 2021","27,373","26,980","27,526","26,657",2.49M,1.77%
"Mar 30, 2021","26,898","26,766","27,443","26,360",3.02M,-0.30%
"Mar 29, 2021","26,980","27,800","28,174","26,614",4.44M,-2.01%
"Mar 26, 2021","27,533","27,083","28,006","26,728",3.36M,3.65%
"Mar 25, 2021","26,564","25,954","27,128","25,954",2.83M,2.55%
"Mar 24, 2021","25,903","25,498","26,361","24,660",3.67M,1.33%
"Mar 23, 2021","25,562","25,800","26,526","25,501",4.70M,-2.14%
"Mar 19, 2021","26,120","26,500","26,647","25,505",4.87M,-2.15%
"Mar 18, 2021","26,695","27,250","27,650","26,271",10.98M,0.75%
"Mar 17, 2021","26,496","27,145","27,393","26,300",3.63M,-5.00%
"Mar 16, 2021","27,890","27,540","28,476","26,774",3.50M,0.78%
"Mar 15, 2021","27,675","27,351","28,156","27,106",4.52M,0.27%
"Mar 12, 2021","27,600","28,412","28,598","27,363",2.94M,-3.01%
"Mar 11, 2021","28,457","29,301","29,777","28,180",4.89M,-2.34%
"Mar 10, 2021","29,138","28,499","29,483","27,855",3.61M,2.27%
"Mar 09, 2021","28,491","28,000","28,850","27,770",3.89M,2.19%
"Mar 08, 2021","27,880","27,352","28,359","27,352",3.22M,2.27%
"Mar 05, 2021","27,260","26,450","27,464","26,450",2.69M,1.80%
"Mar 04, 2021","26,778","26,692","27,110","26,263",4.60M,0.52%
"Mar 03, 2021","26,640","27,442","28,324","26,325",4.57M,-1.52%
"Mar 02, 2021","27,052","25,635","27,094","25,227",3.82M,5.60%
"Mar 01, 2021","25,618","24,755","25,900","24,720",3.18M,4.11%
"Feb 26, 2021","24,607","24,999","25,042","24,072",8.64M,-2.59%
"Feb 25, 2021","25,261","24,700","25,536","24,225",5.53M,7.16%
"Feb 24, 2021","23,573","24,195","24,503","23,406",3.93M,-0.54%
"Feb 23, 2021","23,700","24,850","25,416","23,602",3.98M,-4.04%
"Feb 22, 2021","24,697","24,350","24,890","24,235",3.11M,2.37%
"Feb 19, 2021","24,125","23,010","24,280","22,975",2.46M,2.50%
"Feb 18, 2021","23,536","22,950","23,638","22,743",4.61M,2.42%
"Feb 17, 2021","22,981","22,800","23,367","22,501",3.26M,-0.10%
"Feb 16, 2021","23,005","23,638","23,999","22,682",3.56M,-1.30%
"Feb 15, 2021","23,308","22,999","23,356","22,677",3.30M,3.50%
"Feb 12, 2021","22,520","22,478","22,639","22,045",2.72M,0.09%
"Feb 11, 2021","22,500","23,300","23,406","21,811",4.00M,-1.83%
"Feb 10, 2021","22,919","21,960","23,470","21,950",5.88M,5.37%
"Feb 09, 2021","21,750","22,420","22,499","20,727",4.70M,-0.05%
"Feb 08, 2021","21,760","21,755","22,112","21,221",4.37M,1.33%
"Feb 05, 2021","21,474","21,638","22,100","21,054",3.31M,-0.62%
"Feb 04, 2021","21,608","20,500","21,852","20,500",3.77M,5.39%
"Feb 03, 2021","20,502","20,640","20,982","20,348",1.98M,0.60%
"Feb 02, 2021","20,379","21,550","21,770","20,351",1.88M,-3.96%
"Feb 01, 2021","21,220","21,050","21,520","20,802",2.77M,2.42%
"Jan 29, 2021","20,718","20,900","21,120","20,256",5.12M,-1.03%
"Jan 28, 2021","20,934","20,057","20,934","19,334",2.63M,2.94%
"Jan 27, 2021","20,336","21,375","21,434","20,048",4.00M,-4.08%
"Jan 26, 2021","21,200","20,757","21,337","20,630",3.37M,0.93%
"Jan 25, 2021","21,005","21,875","22,022","20,704",3.43M,-3.16%
"Jan 22, 2021","21,690","21,975","22,201","21,081",2.27M,-1.45%
"Jan 21, 2021","22,009","21,290","22,321","21,284",3.28M,4.01%
"Jan 20, 2021","21,161","22,186","22,792","21,065",3.60M,-4.62%
"Jan 19, 2021","22,186","21,600","22,438","21,339",2.53M,4.13%
"Jan 18, 2021","21,306","21,525","21,525","21,106",1.37M,-0.94%
"Jan 15, 2021","21,509","21,031","21,552","20,920",2.44M,1.58%
"Jan 14, 2021","21,175","21,450","21,690","20,967",2.08M,-0.95%
"Jan 13, 2021","21,379","20,657","21,638","20,600",2.68M,4.01%
"Jan 12, 2021","20,555","20,960","21,300","20,250",2.59M,0.02%
"Jan 11, 2021","20,550","20,618","20,932","20,059",2.11M,-0.46%
"Jan 08, 2021","20,644","20,400","21,039","19,700",3.09M,1.20%
