Date,Price,Open,High,Low,Vol.,Change %
"Mar 31, 2021","13,650","13,700","13,750","13,450",0.19K,0.00%
"Mar 30, 2021","13,650","13,850","14,200","13,050",3.17M,0.74%
"Mar 29, 2021","13,550","12,500","13,800","12,500",0.20K,11.07%
"Mar 28, 2021","12,200","12,200","12,200","12,200",-,0.00%
"Mar 26, 2021","12,200","11,500","12,300","11,350",2.34M,7.96%
"Mar 25, 2021","11,300","10,950","11,450","10,900",828.97K,2.26%
"Mar 24, 2021","11,050","11,200","11,550","10,850",1.59K,-3.07%
"Mar 23, 2021","11,400","11,600","11,750","11,250",4.96K,-1.30%
"Mar 22, 2021","11,550","11,250","11,650","11,200",1.68M,5.48%
"Mar 21, 2021","10,950","10,950","10,950","10,950",-,0.00%
"Mar 19, 2021","10,950","10,450","11,100","10,400",1.30M,3.30%
"Mar 18, 2021","10,600","10,700","10,800","10,500",0.51K,0.47%
"Mar 17, 2021","10,550","10,650","10,650","10,400",0.01K,-0.94%
"Mar 16, 2021","10,650","10,600","10,750","10,450",0.01K,0.47%
"Mar 15, 2021","10,600","10,450","10,700","10,300",0.46K,2.42%
"Mar 14, 2021","10,350","10,350","10,350","10,350",-,0.00%
"Mar 12, 2021","10,350","10,100","10,450","9,880",1.74M,3.81%
"Mar 11, 2021","9,970","9,680","10,100","9,660",2.15M,4.73%
"Mar 10, 2021","9,520","10,050","10,150","9,510",1.50M,-3.84%
"Mar 09, 2021","9,900","10,300","10,550","9,780",0.01K,-1.98%
"Mar 08, 2021","10,100","9,920","10,700","9,920",1.22K,2.85%
"Mar 07, 2021","9,820","9,820","9,820","9,820",-,0.00%
"Mar 05, 2021","9,820","9,200","9,890","9,110",2.63M,4.47%
"Mar 04, 2021","9,400","9,390","9,500","9,200",0.28K,1.40%
"Mar 03, 2021","9,270","8,750","9,780","8,630",1.09K,5.10%
"Mar 02, 2021","8,820","9,110","9,200","8,710",0.12K,-1.89%
"Mar 01, 2021","8,990","8,990","8,990","8,990",-,0.00%
"Feb 26, 2021","8,990","9,110","9,230","8,680",2.68M,-3.85%
"Feb 25, 2021","9,350","8,800","9,440","8,780",5.22K,8.72%
"Feb 24, 2021","8,600","8,910","9,080","8,570",0.06K,-2.93%
"Feb 23, 2021","8,860","8,880","8,990","8,710",0.62K,-0.34%
"Feb 22, 2021","8,890","8,460","9,070","8,420",4.82K,5.08%
"Feb 21, 2021","8,460","8,460","8,460","8,460",-,0.00%
"Feb 19, 2021","8,460","8,630","8,740","8,300",822.43K,-1.86%
"Feb 18, 2021","8,620","8,700","8,790","8,600",0.10K,-1.93%
"Feb 17, 2021","8,790","8,810","9,110","8,710",0.39K,1.38%
"Feb 16, 2021","8,670","8,430","8,670","8,360",0.06K,3.46%
"Feb 15, 2021","8,380","8,230","8,470","8,230",932.80K,2.44%
"Feb 10, 2021","8,180","8,230","8,260","8,070",380.43K,0.25%
"Feb 09, 2021","8,160","8,170","8,270","8,120",395.29K,0.12%
"Feb 08, 2021","8,150","8,080","8,220","7,970",459.06K,0.99%
"Feb 05, 2021","8,070","8,070","8,170","7,950",437.52K,0.25%
"Feb 04, 2021","8,050","8,100","8,230","7,990",538.66K,-0.25%
"Feb 03, 2021","8,070","8,170","8,210","7,960",578.13K,-0.74%
"Feb 02, 2021","8,130","7,830","8,220","7,740",711.67K,4.23%
"Feb 01, 2021","7,800","7,590","7,840","7,590",448.41K,0.65%
