Date,Price,Open,High,Low,Vol.,Change %
"Mar 31, 2021",19.41,19.42,19.63,19.27,13.14M,-0.46%
"Mar 30, 2021",19.5,19.12,19.81,19.03,21.05M,2.09%
"Mar 29, 2021",19.1,19.24,19.67,19.1,16.56M,-0.78%
"Mar 26, 2021",19.25,20.28,20.36,19.1,21.35M,-3.85%
"Mar 25, 2021",20.02,20.5,20.86,20.02,15.93M,-1.48%
"Mar 24, 2021",20.32,20.54,21,20.16,20.42M,-0.20%
"Mar 23, 2021",20.36,19,20.8,18.71,32.23M,-1.45%
"Mar 22, 2021",20.66,21,21.5,20.66,20.59M,-9.94%
"Mar 19, 2021",22.94,23.76,23.78,22.92,11.89M,-3.53%
"Mar 18, 2021",23.78,24.38,24.62,23.42,20.17M,-1.25%
"Mar 17, 2021",24.08,23.56,25.48,23.48,38.10M,2.56%
"Mar 16, 2021",23.48,23.3,23.64,23,9.59M,0.86%
"Mar 15, 2021",23.28,23.24,23.48,23.12,5.25M,0.00%
"Mar 12, 2021",23.28,23.3,23.44,23.06,5.04M,-0.34%
"Mar 11, 2021",23.36,23.5,23.76,23.28,7.37M,-0.34%
"Mar 10, 2021",23.44,23.24,23.46,23.06,6.27M,0.77%
"Mar 09, 2021",23.26,22.82,23.86,22.82,19.32M,3.10%
"Mar 08, 2021",22.56,23.12,23.18,22.46,7.69M,-2.25%
"Mar 05, 2021",23.08,22.82,23.32,22.78,6.74M,0.79%
"Mar 04, 2021",22.9,22.86,23.08,22.74,6.31M,-0.35%
"Mar 03, 2021",22.98,23.06,23.5,22.66,9.22M,0.00%
"Mar 02, 2021",22.98,23,23.36,22.8,7.97M,-0.17%
"Mar 01, 2021",23.02,21.84,23.02,21.82,11.77M,6.67%
"Feb 26, 2021",21.58,21.92,22.5,21.58,13.53M,-4.51%
"Feb 25, 2021",22.6,22.6,22.72,21.94,12.71M,1.99%
"Feb 24, 2021",22.16,22.3,22.62,21.98,11.73M,-1.42%
